index,station,date,tavg,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,vap_pressure,sat_vap_pressure,rel_hum,latitude,longitude
0,1,2007-05-01,67.0,0.0,29.1,29.82,1.7,27,9.2,1.2479419299677836,2.1878578166173233,57.03944381071543,41.995,-87.933
1,2,2007-05-01,68.0,0.0,29.18,29.82,2.7,25,9.6,1.2479419299677836,2.2634305941504893,55.13497666740522,41.786,-87.752
2,1,2007-05-02,51.0,0.0,29.38,30.09,13.0,4,13.4,0.8957941685913383,1.2479419299677836,71.78171893098133,41.995,-87.933
3,2,2007-05-02,52.0,0.0,29.44,30.08,13.3,2,13.4,0.8957941685913383,1.293838786317489,69.23537754969757,41.786,-87.752
4,1,2007-05-03,56.0,0.0,29.39,30.12,11.7,7,11.9,0.8308199423687624,1.4928458239097433,55.653432461823556,41.995,-87.933
5,2,2007-05-03,58.0,0.0,29.46,30.12,12.9,6,13.2,0.8308199423687624,1.6022204474445827,51.85428407769079,41.786,-87.752
6,1,2007-05-04,58.0,0.001,29.31,30.05,10.4,8,10.8,0.8627604519394957,1.6022204474445827,53.847799365906965,41.995,-87.933
8,1,2007-05-05,60.0,0.001,29.4,30.1,11.7,7,12.0,0.7700922603003449,1.718672872360171,44.80737857011813,41.995,-87.933
9,2,2007-05-05,60.0,0.001,29.46,30.09,11.2,7,11.5,0.7999408729260532,1.718672872360171,46.54410305711829,41.786,-87.752
10,1,2007-05-06,59.0,0.0,29.57,30.29,14.4,11,15.0,0.5649283612956694,1.6595376897161735,34.04130950423233,41.995,-87.933
11,2,2007-05-06,60.0,0.0,29.62,30.28,13.8,10,14.5,0.5649283612956694,1.718672872360171,32.870034221223285,41.786,-87.752
12,1,2007-05-07,65.0,0.001,29.38,30.12,8.6,18,10.5,0.8627604519394957,2.0434041232627425,42.22172413755873,41.995,-87.933
13,2,2007-05-07,67.0,0.0,29.44,30.12,8.5,17,9.9,0.7999408729260532,2.1878578166173233,36.56274493023741,41.786,-87.752
14,1,2007-05-08,68.0,0.0,29.29,30.03,2.7,11,5.8,1.6022204474445827,2.2634305941504893,70.78725769569833,41.995,-87.933
15,2,2007-05-08,70.0,0.001,29.36,30.02,2.5,8,5.4,1.5466723806554707,2.4215658994293485,63.87075326010951,41.786,-87.752
16,1,2007-05-09,69.0,0.13,29.21,29.94,3.9,9,6.2,1.6595376897161735,2.3413129950817426,70.8806423234427,41.995,-87.933
17,2,2007-05-09,70.0,0.02,29.28,29.93,3.9,7,5.9,1.718672872360171,2.4215658994293485,70.9736155751608,41.786,-87.752
18,1,2007-05-10,70.0,0.0,29.2,29.92,0.7,17,4.1,1.293838786317489,2.4215658994293485,53.42984003129492,41.995,-87.933
19,2,2007-05-10,71.0,0.0,29.26,29.91,2.0,9,3.9,1.293838786317489,2.504251515881733,51.66568845469724,41.786,-87.752
20,1,2007-05-11,61.0,0.0,29.33,30.04,11.3,3,12.9,0.8957941685913383,1.7796758794005267,50.33468054267731,41.995,-87.933
21,2,2007-05-11,61.0,0.0,29.39,30.03,11.7,36,12.8,0.9652723034172666,1.7796758794005267,54.23865742015972,41.786,-87.752
22,1,2007-05-12,55.0,0.0,29.49,30.2,12.4,3,12.9,0.7133662979225082,1.4406941917649823,49.51545595172902,41.995,-87.933
23,2,2007-05-12,56.0,0.0,29.54,30.19,12.7,1,13.0,0.7412438893632398,1.4928458239097433,49.65307719600487,41.786,-87.752
24,1,2007-05-13,56.0,0.0,29.49,30.24,6.6,14,8.1,0.6352745584468553,1.4928458239097433,42.554599294324966,41.995,-87.933
25,2,2007-05-13,57.0,0.0,29.55,30.24,6.4,11,7.6,0.611,1.5466723806554707,39.504164401064806,41.786,-87.752
26,1,2007-05-14,73.0,0.0,29.23,29.97,16.9,21,17.3,1.0785295493433393,2.67717649683204,40.28608314093547,41.995,-87.933
27,2,2007-05-14,72.0,0.0,29.31,29.98,14.1,21,14.6,1.0017843158463344,2.5894334040296574,38.687394481254664,41.786,-87.752
28,1,2007-05-15,69.0,0.38,29.13,29.84,8.1,27,12.3,1.4928458239097433,2.3413129950817426,63.7610531802316,41.995,-87.933
29,2,2007-05-15,69.0,0.6,29.19,29.83,8.1,25,10.8,1.4928458239097433,2.3413129950817426,63.7610531802316,41.786,-87.752
30,1,2007-05-16,55.0,0.14,29.33,30.03,7.8,36,12.2,0.9299536585929518,1.4406941917649823,64.54899755330266,41.995,-87.933
31,2,2007-05-16,55.0,0.07,29.39,30.03,8.0,36,11.8,0.8957941685913383,1.4406941917649823,62.17795377476385,41.786,-87.752
32,1,2007-05-17,53.0,0.0,29.55,30.27,10.5,3,11.3,0.611,1.3412346443657976,45.555041585502074,41.995,-87.933
33,2,2007-05-17,53.0,0.0,29.62,30.27,11.7,1,12.2,0.611,1.3412346443657976,45.555041585502074,41.786,-87.752
34,1,2007-05-18,57.0,0.0,29.53,30.25,5.4,25,7.5,0.5649283612956694,1.5466723806554707,36.525405661944774,41.995,-87.933
35,2,2007-05-18,57.0,0.0,29.6,30.26,3.4,22,5.5,0.587559685271916,1.5466723806554707,37.98863240985216,41.786,-87.752
36,1,2007-05-19,68.0,0.0,29.34,30.08,11.1,24,11.4,0.7999408729260532,2.2634305941504893,35.341966084287506,41.995,-87.933
37,2,2007-05-19,68.0,0.0,29.41,30.08,11.1,23,11.4,0.7412438893632398,2.2634305941504893,32.748690915413,41.786,-87.752
38,1,2007-05-20,56.0,0.07,29.38,30.11,10.4,4,10.7,0.8308199423687624,1.4928458239097433,55.653432461823556,41.995,-87.933
39,2,2007-05-20,57.0,0.11,29.44,30.11,8.6,3,9.7,0.8627604519394957,1.5466723806554707,55.78171969256106,41.786,-87.752
40,1,2007-05-21,62.0,0.0,29.33,30.06,6.3,11,8.2,1.2035026060200316,1.8425977339080952,65.31553707424996,41.995,-87.933
41,2,2007-05-21,63.0,0.0,29.39,30.05,6.3,10,7.8,1.2035026060200316,1.907490618143548,63.09350067426975,41.786,-87.752
42,1,2007-05-22,71.0,0.0,29.34,30.06,10.0,18,10.2,1.0395247562934355,2.504251515881733,41.51039740620561,41.995,-87.933
43,2,2007-05-22,74.0,0.0,29.41,30.05,10.1,16,10.6,0.9652723034172666,2.767547123315401,34.878260799437165,41.786,-87.752
44,1,2007-05-23,75.0,0.0,29.39,30.1,11.4,19,11.8,1.1604803132249262,2.860613031507167,40.5675392107651,41.995,-87.933
45,2,2007-05-23,78.0,0.0,29.47,30.1,10.9,18,11.2,1.118835500511772,3.156681699769707,35.443405668471286,41.786,-87.752
46,1,2007-05-24,76.0,0.02,29.41,30.11,14.9,21,17.3,1.3901719595497484,2.956443411602841,47.02176791525545,41.995,-87.933
47,2,2007-05-24,77.0,0.001,29.47,30.1,13.8,20,15.2,1.3412346443657976,3.055108919367253,43.901369141483244,41.786,-87.752
48,1,2007-05-25,63.0,0.001,29.51,30.24,4.9,5,8.8,0.9652723034172666,1.907490618143548,50.604301496209246,41.995,-87.933
49,2,2007-05-25,62.0,0.09,29.57,30.23,4.5,5,8.2,1.0395247562934355,1.8425977339080952,56.416261518385475,41.786,-87.752
50,1,2007-05-26,57.0,1.01,29.36,30.11,2.8,17,7.2,1.4406941917649823,1.5466723806554707,93.14798723918665,41.995,-87.933
51,2,2007-05-26,60.0,0.28,29.42,30.1,2.5,15,7.8,1.4406941917649823,1.718672872360171,83.82596914947206,41.786,-87.752
52,1,2007-05-27,66.0,0.04,29.34,30.06,8.9,26,9.5,1.0785295493433393,2.114535089135237,51.00551676276113,41.995,-87.933
53,2,2007-05-27,67.0,0.08,29.41,30.05,8.2,24,9.2,1.1604803132249262,2.1878578166173233,53.04185237316567,41.786,-87.752
54,1,2007-05-28,65.0,0.001,29.43,30.15,4.8,10,5.3,1.0785295493433393,2.0434041232627425,52.78102050715404,41.995,-87.933
55,2,2007-05-28,65.0,0.0,29.49,30.14,4.7,8,5.2,1.1604803132249262,2.0434041232627425,56.791522538966255,41.786,-87.752
56,1,2007-05-29,74.0,0.0,29.39,30.11,5.8,18,6.5,1.6022204474445827,2.767547123315401,57.89315867276696,41.995,-87.933
57,2,2007-05-29,77.0,0.0,29.44,30.09,5.8,16,7.4,1.6595376897161735,3.055108919367253,54.320082639144736,41.786,-87.752
58,1,2007-05-30,77.0,0.0,29.31,30.04,10.3,19,10.6,1.6022204474445827,3.055108919367253,52.44397138470664,41.995,-87.933
59,2,2007-05-30,80.0,0.0,29.38,30.03,9.7,17,10.1,1.5466723806554707,3.3688452478372373,45.91105458609053,41.786,-87.752
60,1,2007-05-31,72.0,0.01,29.28,30.0,9.3,19,9.9,1.7796758794005267,2.5894334040296574,68.72838964041354,41.995,-87.933
61,2,2007-05-31,74.0,0.53,29.34,29.99,8.9,18,9.2,1.7796758794005267,2.767547123315401,64.30516988879859,41.786,-87.752
62,1,2007-06-01,74.0,0.19,29.19,29.91,4.2,17,6.4,1.907490618143548,2.767547123315401,68.92350999459974,41.995,-87.933
63,2,2007-06-01,77.0,0.21,29.25,29.9,4.7,16,5.8,1.907490618143548,3.055108919367253,62.43609208337523,41.786,-87.752
64,1,2007-06-02,73.0,0.04,29.03,29.77,6.5,22,7.4,1.907490618143548,2.67717649683204,71.25008830761521,41.995,-87.933
65,2,2007-06-02,75.0,0.001,29.1,29.76,7.5,21,8.2,1.8425977339080952,2.860613031507167,64.4126875468119,41.786,-87.752
66,1,2007-06-03,70.0,0.01,28.82,29.56,5.2,25,6.7,1.718672872360171,2.4215658994293485,70.9736155751608,41.995,-87.933
67,2,2007-06-03,71.0,0.32,28.87,29.54,4.9,24,7.2,1.718672872360171,2.504251515881733,68.63020193700615,41.786,-87.752
68,1,2007-06-04,65.0,0.39,28.82,29.52,7.8,31,9.7,1.6022204474445827,2.0434041232627425,78.40937723499778,41.995,-87.933
69,2,2007-06-04,64.0,0.31,28.88,29.51,7.9,30,10.1,1.5466723806554707,1.9744078939310175,78.33601078124077,41.786,-87.752
70,1,2007-06-05,56.0,0.42,29.1,29.79,5.2,5,7.6,1.118835500511772,1.4928458239097433,74.94648694408086,41.995,-87.933
71,2,2007-06-05,57.0,0.27,29.16,29.78,6.2,3,8.1,1.0785295493433393,1.5466723806554707,69.73225634806155,41.786,-87.752
72,1,2007-06-06,58.0,0.01,29.07,29.81,10.8,17,11.4,1.118835500511772,1.6022204474445827,69.83030969903224,41.995,-87.933
73,2,2007-06-06,61.0,0.001,29.13,29.82,9.6,15,10.6,1.0785295493433393,1.7796758794005267,60.60258285383042,41.786,-87.752
74,1,2007-06-07,81.0,0.0,28.84,29.55,22.7,20,23.1,1.8425977339080952,3.479587967455363,52.95448056327182,41.995,-87.933
75,2,2007-06-07,82.0,0.0,28.91,29.55,20.3,19,20.7,1.7796758794005267,3.5935419125252968,49.52428335947504,41.786,-87.752
76,1,2007-06-08,69.0,0.0,29.18,29.85,10.9,28,13.8,1.3412346443657976,2.3413129950817426,57.285576391676365,41.995,-87.933
77,2,2007-06-08,72.0,0.0,29.24,29.83,9.3,26,12.4,1.3901719595497484,2.5894334040296574,53.68633761294547,41.786,-87.752
78,1,2007-06-09,66.0,0.0,29.36,30.07,0.3,33,5.0,1.0785295493433393,2.114535089135237,51.00551676276113,41.995,-87.933
79,2,2007-06-09,68.0,0.0,29.42,30.05,2.4,19,4.7,1.1604803132249262,2.2634305941504893,51.27085920920308,41.786,-87.752
80,1,2007-06-10,68.0,0.0,29.34,30.05,4.8,17,5.6,1.2479419299677836,2.2634305941504893,55.13497666740522,41.995,-87.933
81,2,2007-06-10,71.0,0.0,29.39,30.04,4.6,16,5.8,1.2035026060200316,2.504251515881733,48.05837586151106,41.786,-87.752
82,1,2007-06-11,72.0,0.0,29.41,30.11,4.9,11,6.9,1.293838786317489,2.5894334040296574,49.96609622414025,41.995,-87.933
83,2,2007-06-11,75.0,0.0,29.47,30.09,6.6,9,8.4,1.2479419299677836,2.860613031507167,43.624982345489855,41.786,-87.752
84,1,2007-06-12,73.0,0.0,29.44,30.16,8.3,5,8.8,1.2035026060200316,2.67717649683204,44.95417494678299,41.995,-87.933
85,2,2007-06-12,74.0,0.0,29.49,30.14,9.4,5,10.0,1.2479419299677836,2.767547123315401,45.09198486466252,41.786,-87.752
86,1,2007-06-13,74.0,0.0,29.36,30.09,7.2,5,8.6,1.3412346443657976,2.767547123315401,48.46293792313306,41.995,-87.933
